Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Kansas City Chiefs,16,556,2627,13,80,4.7,164.2,15,-10.27
2,Oakland Raiders,16,504,2494,19,71,4.9,155.9,32,4.28
3,Jacksonville Jaguars,16,512,2395,14,74,4.7,149.7,23,38.34
4,New York Jets,16,534,2374,14,53,4.4,148.4,23,-7.46
5,Philadelphia Eagles,16,428,2324,18,62,5.4,145.3,33,59.56
6,New York Giants,16,480,2200,17,73,4.6,137.5,26,-46.48
7,Houston Texans,16,423,2042,20,74,4.8,127.6,15,29.35
8,Tampa Bay Buccaneers,16,431,2001,9,61,4.6,125.1,24,-16.44
9,New England Patriots,16,454,1973,19,36,4.3,123.3,9,45.50
10,Minnesota Vikings,16,441,1942,16,80,4.4,121.4,20,-23.58
11,Pittsburgh Steelers,16,471,1924,15,50,4.1,120.3,22,-45.75
12,Atlanta Falcons,16,497,1891,14,55,3.8,118.2,12,-27.41
13,Carolina Panthers,16,428,1846,7,60,4.3,115.4,31,-66.92
14,Baltimore Ravens,16,487,1831,11,50,3.8,114.4,22,-54.86
15,San Diego Chargers,16,457,1810,18,36,4.0,113.1,25,-50.53
16,Dallas Cowboys,16,428,1786,10,60,4.2,111.6,28,-8.30
17,Tennessee Titans,16,406,1727,13,76,4.3,107.9,22,-62.13
18,Buffalo Bills,16,401,1720,6,39,4.3,107.5,33,-31.93
19,San Francisco 49ers,16,401,1657,10,64,4.1,103.6,22,-28.23
20,Cleveland Browns,16,413,1646,13,68,4.0,102.9,29,-28.21
21,Miami Dolphins,16,445,1643,8,51,3.7,102.7,24,-61.17
22,Chicago Bears,16,414,1616,10,68,3.9,101.0,19,-44.87
23,Detroit Lions,16,404,1613,11,45,4.0,100.8,20,-34.08
24,Green Bay Packers,16,421,1606,11,71,3.8,100.4,20,-35.49
25,St. Louis Rams,16,429,1578,9,42,3.7,98.6,14,-51.21
26,Denver Broncos,16,398,1544,13,40,3.9,96.5,29,-64.53
27,Cincinnati Bengals,16,428,1522,8,42,3.6,95.1,21,-81.08
28,New Orleans Saints,16,380,1519,9,55,4.0,94.9,23,-36.10
29,Indianapolis Colts,16,393,1483,13,49,3.8,92.7,14,-31.50
30,Washington Redskins,16,351,1461,9,54,4.2,91.3,29,-36.32
31,Seattle Seahawks,16,385,1424,13,39,3.7,89.0,18,-58.26
32,Arizona Cardinals,16,320,1388,9,80,4.3,86.8,33,-23.61
